line,startTime,endTime,spawningIntervalInMinutes,minimumBoardingTimeInSeconds,spawningAmount,tripid
S1,5:00,20:00,10,20,1,30811507
S1,5:00,20:00,10,20,1,30811632
S1,5:00,20:00,10,20,1,30811336
S1,5:00,20:00,10,20,1,30811272
S11,5:00,18:00,10,20,1,31295005
S11,5:00,18:00,10,20,1,31294962
S21,5:00,20:00,10,20,1,31396648
S21,5:00,20:00,10,20,1,31396812
S3,5:00,20:00,10,20,1,31532159
S3,5:00,20:00,10,20,1,31893005
S3,5:00,20:00,10,20,1,31892559
S3,5:00,20:00,10,20,1,31532324
S31,5:00,20:00,10,20,1,31614553
S31,5:00,20:00,10,20,1,31614462
S31,5:00,20:00,10,20,1,31614291
S31,5:00,20:00,10,20,1,31614200
S2,6:00,9:00:00,10,20,1,31313005
S2,6:00,9:00,10,20,1,31312968
S2,15:00,19:00:00,10,20,1,31313005
S2,15:00,19:00,10,20,1,31312968
S5,5:00,20:00,10,20,1,187579
S5,5:00,20:00,10,20,1,579187